file_path,chip,temperature,device_index,vds,method,vth,gm_max,idx,num_points
./chip4/85K/Nmos/4.txt,chip4,85K,4,0.1,traditional,0.6630945236309076,0.0017773333333333313,29,41
./chip4/85K/Nmos/4.txt,chip4,85K,4,1.2,sqrt,0.5597237674014326,0.08573100074635956,25,41
./chip5/115K/Nmos/1.txt,chip5,115K,1,0.1,traditional,0.6249232119350596,0.00011395000000000014,28,41
./chip5/115K/Nmos/1.txt,chip5,115K,1,1.2,sqrt,0.4631492794561651,0.02030638082818996,23,41
./chip5/115K/Nmos/2.txt,chip5,115K,2,0.1,traditional,0.6666611157368858,0.0001801499999999999,30,41
./chip5/115K/Nmos/2.txt,chip5,115K,2,1.2,sqrt,0.5133064395638551,0.026132464233960095,25,41
./chip5/115K/Nmos/3.txt,chip5,115K,3,0.1,traditional,0.6430653347297192,0.004137666666666675,28,41
./chip5/115K/Nmos/3.txt,chip5,115K,3,1.2,sqrt,0.48135966312547335,0.12718349464091505,24,41
./chip5/115K/Nmos/4.txt,chip5,115K,4,0.1,traditional,0.6540266997826761,0.001610499999999999,30,41
./chip5/115K/Nmos/4.txt,chip5,115K,4,1.2,sqrt,0.5495218244094886,0.08111245931933192,26,41
./chip5/140K/Nmos/1.txt,chip5,140K,1,0.1,traditional,0.6173001555209955,0.00010716666666666676,28,41
./chip5/140K/Nmos/1.txt,chip5,140K,1,1.2,sqrt,0.45421317415288703,0.01965622627679614,24,41
./chip5/140K/Nmos/2.txt,chip5,140K,2,0.1,traditional,0.6583966327329677,0.0001702666666666665,29,40
./chip5/140K/Nmos/2.txt,chip5,140K,2,1.2,sqrt,0.5034990999397745,0.025303917485424418,24,41
./chip5/140K/Nmos/3.txt,chip5,140K,3,0.1,traditional,0.6340155661991108,0.0038973333333333395,28,41
./chip5/140K/Nmos/3.txt,chip5,140K,3,1.2,sqrt,0.471905231295733,0.12307468421839696,23,41
./chip5/140K/Nmos/4.txt,chip5,140K,4,0.1,traditional,0.6444193331841572,0.0014896666666666643,28,40
./chip5/140K/Nmos/4.txt,chip5,140K,4,1.2,sqrt,0.5389558280455085,0.07801496447757567,26,41
./chip5/185K/Nmos/1.txt,chip5,185K,1,0.1,traditional,0.6008398299078668,9.406666666666666e-05,27,41
./chip5/185K/Nmos/1.txt,chip5,185K,1,1.2,sqrt,0.4369155092497923,0.018485346129566205,23,41
