file_path,temperature,device,device_index,vd_V,vth_traditional_V,vth_sqrt_V,gm_traditional_A_per_V,gm_sqrt_A_per_V,vth_diff_V,vth_diff_percent,num_points
./chip4/85K/Pmos/1.txt,85K,pmos,1,0.7000000000000001,-0.7282374193548401,-0.5224128175241587,0.00012916666666666708,0.01284761366963618,0.2058246018306814,28.263392728847343,41
./chip4/85K/Pmos/1.txt,85K,pmos,1,0.8,-0.7126200873362437,-0.5187914630740289,0.00011449999999999969,0.012297240091258772,0.1938286242622148,27.199433149118967,41
./chip4/85K/Pmos/1.txt,85K,pmos,1,0.9,-0.6966459627329189,-0.5169778193612725,9.659999999999991e-05,0.011694660612820137,0.17966814337164638,25.790452106664656,41
./chip4/85K/Pmos/1.txt,85K,pmos,1,1.0,-0.6722559241706159,-0.5089530923819922,7.033333333333327e-05,0.01050530675711258,0.1633028317886237,24.29176537047193,41
./chip4/85K/Pmos/1.txt,85K,pmos,1,1.1,-0.644859510086455,-0.4823947119498845,3.701333333333331e-05,0.0076760129202224775,0.16246479813657055,25.19382836034925,41
./chip4/85K/Pmos/1.txt,85K,pmos,1,1.2,-0.3910195662869469,-0.3573017313417687,1.3211499999999986e-07,0.0009522663162046452,0.033717834945178216,8.623055686281086,41
./chip4/85K/Pmos/2.txt,85K,pmos,2,0.1,-0.7725941422594133,-0.5512576180419515,0.00031866666666666583,0.020048089715006503,0.22133652421746175,28.648485939871883,41
./chip4/85K/Pmos/2.txt,85K,pmos,2,0.2,-0.7695273899033296,-0.5531910157935611,0.00031033333333333325,0.0198855025689436,0.21633637410976847,28.112888111356938,41
./chip4/85K/Pmos/2.txt,85K,pmos,2,0.3,-0.7697802197802195,-0.553944579154899,0.0003033333333333332,0.019661316700206002,0.21583564062532046,28.038605705787532,41
./chip4/85K/Pmos/2.txt,85K,pmos,2,0.4,-0.7690723981900456,-0.5568993887623828,0.000294666666666667,0.019549125223519287,0.21217300942766282,27.58817114318446,41
./chip4/85K/Pmos/2.txt,85K,pmos,2,0.5,-0.7701862630966233,-0.5596828581594473,0.0002863333333333329,0.019355436005681653,0.210503404937176,27.331493045698146,41
