file_path,temperature,device,vd_V,vth_V,gm_max_A_per_V,gm_max_index,num_points,notes
/home/alberto/vthcalculator/chip5/115K/Nmos/4.txt,115K,nmos,0.1,0.654027,0.0016105,30,41,
/home/alberto/vthcalculator/chip5/115K/Pmos/1.txt,115K,pmos,1.1,-0.644295,3.67183e-05,11,41,
/home/alberto/vthcalculator/chip5/115K/Pmos/2.txt,115K,pmos,1.1,-0.667726,7.19667e-05,12,41,
/home/alberto/vthcalculator/chip5/115K/Pmos/3.txt,115K,pmos,1.1,-0.601123,0.00142467,14,41,
/home/alberto/vthcalculator/chip5/115K/Pmos/4.txt,115K,pmos,1.1,-0.636578,0.000767667,12,41,
/home/alberto/vthcalculator/chip5/140K/Nmos/1.txt,140K,nmos,0.1,0.6173,0.000107167,28,41,
/home/alberto/vthcalculator/chip5/140K/Nmos/2.txt,140K,nmos,0.1,0.658397,0.000170267,29,40,
/home/alberto/vthcalculator/chip5/140K/Nmos/3.txt,140K,nmos,0.1,0.634016,0.00389733,28,41,
/home/alberto/vthcalculator/chip5/140K/Nmos/4.txt,140K,nmos,0.1,0.644419,0.00148967,28,40,
/home/alberto/vthcalculator/chip5/140K/Pmos/1.txt,140K,pmos,1.1,-0.626362,3.505e-05,11,41,
/home/alberto/vthcalculator/chip5/140K/Pmos/2.txt,140K,pmos,1.1,-0.652986,6.94333e-05,11,41,
/home/alberto/vthcalculator/chip5/140K/Pmos/3.txt,140K,pmos,1.1,-0.582464,0.00136067,13,41,
/home/alberto/vthcalculator/chip5/140K/Pmos/4.txt,140K,pmos,1.1,-0.615109,0.000688333,12,41,
/home/alberto/vthcalculator/chip5/185K/Nmos/1.txt,185K,nmos,0.1,0.60084,9.40667e-05,27,41,
/home/alberto/vthcalculator/chip5/185K/Nmos/2.txt,185K,nmos,0.1,0.639715,0.000149667,29,41,
/home/alberto/vthcalculator/chip5/185K/Nmos/3.txt,185K,nmos,0.1,0.615137,0.003455,28,41,
/home/alberto/vthcalculator/chip5/185K/Nmos/4.txt,185K,nmos,0.1,0.620657,0.00123083,29,41,
/home/alberto/vthcalculator/chip5/185K/Pmos/1.txt,185K,pmos,1.1,-0.586247,3.19017e-05,13,41,
/home/alberto/vthcalculator/chip5/185K/Pmos/2.txt,185K,pmos,1.1,-0.61493,6.43e-05,12,41,
/home/alberto/vthcalculator/chip5/185K/Pmos/3.txt,185K,pmos,1.1,-0.549695,0.00126867,15,41,
/home/alberto/vthcalculator/chip5/185K/Pmos/4.txt,185K,pmos,1.1,-0.575222,0.000570667,13,41,
/home/alberto/vthcalculator/chip5/220K/Nmos/1.txt,220K,nmos,0.1,0.582254,8.33167e-05,27,41,
/home/alberto/vthcalculator/chip5/220K/Nmos/2.txt,220K,nmos,0.1,0.629687,0.000137317,31,41,
/home/alberto/vthcalculator/chip5/220K/Nmos/3.txt,220K,nmos,0.1,0.599817,0.00314417,26,40,
/home/alberto/vthcalculator/chip5/220K/Nmos/4.txt,220K,nmos,0.1,0.600426,0.0010575,28,41,
/home/alberto/vthcalculator/chip5/220K/Pmos/1.txt,220K,pmos,1.1,-0.564298,2.99617e-05,12,41,
/home/alberto/vthcalculator/chip5/220K/Pmos/2.txt,220K,pmos,1.1,-0.586797,5.96367e-05,14,41,
/home/alberto/vthcalculator/chip5/220K/Pmos/3.txt,220K,pmos,1.1,-0.522697,0.001183,15,41,
/home/alberto/vthcalculator/chip5/220K/Pmos/4.txt,220K,pmos,1.1,-0.54413,0.000492933,15,41,
/home/alberto/vthcalculator/chip5/295K/Nmos/1.txt,295K,nmos,0.1,0.547198,6.66833e-05,26,41,
/home/alberto/vthcalculator/chip5/295K/Nmos/2.txt,295K,nmos,0.1,0.587175,0.000110017,28,41,
/home/alberto/vthcalculator/chip5/295K/Nmos/3.txt,295K,nmos,0.1,0.560281,0.00253483,26,41,
/home/alberto/vthcalculator/chip5/295K/Nmos/4.txt,295K,nmos,0.1,0.555642,0.000774833,28,41,
/home/alberto/vthcalculator/chip5/295K/Pmos/1.txt,295K,pmos,1.1,-0.507992,2.56433e-05,14,41,
/home/alberto/vthcalculator/chip5/295K/Pmos/2.txt,295K,pmos,1.1,-0.529521,5.15333e-05,14,41,
/home/alberto/vthcalculator/chip5/295K/Pmos/3.txt,295K,pmos,1.1,-0.466713,0.00102433,17,41,
/home/alberto/vthcalculator/chip5/295K/Pmos/4.txt,295K,pmos,1.1,-0.483462,0.000379833,15,41,
/home/alberto/vthcalculator/chip5/85K/Nmos/1.txt,85K,nmos,0.1,0.633858,0.000121683,28,41,
/home/alberto/vthcalculator/chip5/85K/Nmos/2.txt,85K,nmos,0.1,0.673981,0.000189467,30,41,
/home/alberto/vthcalculator/chip5/85K/Nmos/3.txt,85K,nmos,0.1,0.65061,0.0043535,28,41,
/home/alberto/vthcalculator/chip5/85K/Nmos/4.txt,85K,nmos,0.1,0.66519,0.00174283,29,41,
/home/alberto/vthcalculator/chip5/85K/Pmos/1.txt,85K,pmos,1.1,-0.664974,3.84283e-05,11,41,
/home/alberto/vthcalculator/chip5/85K/Pmos/2.txt,85K,pmos,1.1,-0.687231,7.44e-05,11,41,
/home/alberto/vthcalculator/chip5/85K/Pmos/3.txt,85K,pmos,1.1,-0.621357,0.00148567,13,41,
/home/alberto/vthcalculator/chip5/85K/Pmos/4.txt,85K,pmos,1.1,-0.665573,0.000861333,11,41,
