device_type,device_index,method,vds,temperature,vth,vth_ref_295k,vth_diff,temp_diff
nmos,2,sqrt,1.2,185.0,0.4852274670791664,0.43012319483025524,0.05510427224891118,-110.0
nmos,2,sqrt,1.2,85.0,0.5242765405567915,0.43012319483025524,0.09415334572653627,-210.0
nmos,2,sqrt,1.2,220.0,0.46839783379904565,0.43012319483025524,0.03827463896879041,-75.0
nmos,2,sqrt,1.2,115.0,0.5133064395638551,0.43012319483025524,0.08318324473359989,-180.0
nmos,2,traditional,0.1,115.0,0.6856374807987716,0.589883232134517,0.09575424866425464,-180.0
nmos,2,traditional,0.1,140.0,0.6712059471365638,0.589883232134517,0.0813227150020468,-155.0
nmos,2,traditional,0.1,185.0,0.6528238369053838,0.589883232134517,0.06294060477086683,-110.0
nmos,2,traditional,0.1,85.0,0.6853750826173167,0.589883232134517,0.09549185048279973,-210.0
nmos,2,traditional,0.1,220.0,0.6378407526388249,0.589883232134517,0.047957520504307904,-75.0
nmos,2,traditional,0.1,115.0,0.6789843140653434,0.589883232134517,0.08910108193082644,-180.0
nmos,2,traditional,0.1,140.0,0.6583966327329677,0.589883232134517,0.06851340059845068,-155.0
nmos,2,traditional,0.1,185.0,0.6397149220489974,0.589883232134517,0.04983168991448039,-110.0
nmos,2,traditional,0.1,85.0,0.673981351161154,0.589883232134517,0.084098119026637,-210.0
nmos,2,traditional,0.1,220.0,0.629686855200874,0.589883232134517,0.039803623066356986,-75.0
nmos,2,traditional,0.1,115.0,0.6666611157368858,0.589883232134517,0.07677788360236881,-180.0
nmos,3,sqrt,1.2,140.0,0.4590769041307634,0.38082078608519854,0.07825611804556487,-155.0
nmos,3,sqrt,1.2,185.0,0.43692376757995705,0.38082078608519854,0.05610298149475851,-110.0
nmos,3,sqrt,1.2,115.0,0.468247721798391,0.38082078608519854,0.08742693571319249,-180.0
nmos,3,sqrt,1.2,140.0,0.470147173460536,0.38082078608519854,0.08932638737533749,-155.0
nmos,3,sqrt,1.2,185.0,0.45031445594813135,0.38082078608519854,0.06949366986293282,-110.0
nmos,3,sqrt,1.2,85.0,0.4870181531106995,0.38082078608519854,0.10619736702550098,-210.0
nmos,3,sqrt,1.2,220.0,0.4350372130187137,0.38082078608519854,0.05421642693351514,-75.0
nmos,3,sqrt,1.2,115.0,0.4779393221419308,0.38082078608519854,0.09711853605673226,-180.0
nmos,3,sqrt,1.2,140.0,0.471905231295733,0.38082078608519854,0.09108444521053444,-155.0
nmos,3,sqrt,1.2,185.0,0.4528847122628459,0.38082078608519854,0.07206392617764734,-110.0
nmos,3,sqrt,1.2,85.0,0.4883244417680249,0.38082078608519854,0.10750365568282638,-210.0
nmos,3,sqrt,1.2,220.0,0.4376611720804929,0.38082078608519854,0.05684038599529434,-75.0
nmos,3,sqrt,1.2,115.0,0.48135966312547335,0.38082078608519854,0.10053887704027481,-180.0
nmos,3,traditional,0.1,140.0,0.6204326250159057,0.5419958419958417,0.07843678302006396,-155.0
nmos,3,traditional,0.1,185.0,0.601864682520695,0.5419958419958417,0.059868840524853306,-110.0
nmos,3,traditional,0.1,115.0,0.6307815246923448,0.5419958419958417,0.08878568269650311,-180.0
nmos,3,traditional,0.1,140.0,0.6262596865851559,0.5419958419958417,0.08426384458931413,-155.0
nmos,3,traditional,0.1,185.0,0.6089127906976746,0.5419958419958417,0.06691694870183285,-110.0
nmos,3,traditional,0.1,85.0,0.6418526266852629,0.5419958419958417,0.09985678468942116,-210.0
nmos,3,traditional,0.1,220.0,0.5929041916167668,0.5419958419958417,0.05090834962092505,-75.0
nmos,3,traditional,0.1,115.0,0.6355491540552606,0.5419958419958417,0.09355331205941886,-180.0
nmos,3,traditional,0.1,140.0,0.6340155661991108,0.5419958419958417,0.0920197242032691,-155.0
nmos,3,traditional,0.1,185.0,0.6151374819102753,0.5419958419958417,0.07314163991443356,-110.0
nmos,3,traditional,0.1,85.0,0.6506098541403472,0.5419958419958417,0.1086140121445055,-210.0
nmos,3,traditional,0.1,220.0,0.5998171216538565,0.5419958419958417,0.05782127965801476,-75.0
nmos,3,traditional,0.1,115.0,0.6430653347297192,0.5419958419958417,0.10106949273387744,-180.0
nmos,4,sqrt,1.2,140.0,0.5379555106723178,0.4377485012930095,0.10020700937930832,-155.0
nmos,4,sqrt,1.2,185.0,0.5103744755407124,0.4377485012930095,0.07262597424770284,-110.0
