device_type,device_index,temp_avg,method,vds,dvth_dt_mean,dvth_dt_std,dvth_dt_count,vth_low_mean,vth_high_mean,temp_low_mean,temp_high_mean
pmos,2,100.0,traditional,1.1,0.0006747674818489419,2.1559875208167632e-05,3,-0.6843300905058308,-0.6640870660503624,85.0,115.0
pmos,2,100.0,sqrt,0.0,0.0006408864724564207,7.663544847926233e-05,3,-0.5578253928108317,-0.5385987986371391,85.0,115.0
pmos,2,127.5,traditional,1.1,0.0006354767762557339,8.437666211255419e-05,3,-0.6640870660503624,-0.6482001466439691,115.0,140.0
pmos,2,127.5,sqrt,0.0,0.0006145517432721729,0.00010735983763268878,3,-0.5385987986371391,-0.5232350050553348,115.0,140.0
pmos,2,162.5,traditional,1.1,0.0008182618307302175,3.7610879356565314e-05,3,-0.6482001466439691,-0.6113783642611094,140.0,185.0
pmos,2,162.5,sqrt,0.0,0.0008345634613885308,7.986405202942248e-05,3,-0.5232350050553348,-0.48567964929285085,140.0,185.0
pmos,2,202.5,traditional,1.1,0.000746511602676608,6.344258418714524e-05,3,-0.6113783642611094,-0.5852504581674279,185.0,220.0
pmos,2,202.5,sqrt,0.0,0.0015542608139796482,0.0013578357978434562,3,-0.48567964929285085,-0.4312805208035632,185.0,220.0
pmos,2,257.5,traditional,1.1,0.0008013167852310489,4.826896255577999e-05,3,-0.5852504581674279,-0.5251516992750994,220.0,295.0
pmos,2,257.5,sqrt,0.0,0.000495253057068411,0.0007233670981676751,3,-0.4312805208035632,-0.39413654152343236,220.0,295.0
pmos,3,100.0,traditional,1.1,0.0006762674458725823,2.530395679266314e-06,2,-0.6202447195284562,-0.5999566961522786,85.0,115.0
pmos,3,100.0,sqrt,0.0,0.0006162459248145393,5.186576080508009e-06,2,-0.4816556189854682,-0.46316824124103206,85.0,115.0
pmos,3,127.5,traditional,1.1,0.0006686250812688899,0.00010991066961439655,2,-0.5999566961522786,-0.5832410691205565,115.0,140.0
pmos,3,127.5,sqrt,0.0,0.0006540856259967254,7.723166182841631e-05,2,-0.46316824124103206,-0.4468161005911139,115.0,140.0
pmos,3,162.5,traditional,1.1,0.0007649990254486291,5.2033506081033927e-05,2,-0.5832410691205565,-0.5488161129753681,140.0,185.0
pmos,3,162.5,sqrt,0.0,0.0008088814293955051,7.849808188225553e-05,2,-0.4468161005911139,-0.41041643626831614,140.0,185.0
pmos,3,202.5,traditional,1.1,0.0007567293596214442,2.073464386861727e-05,2,-0.5488161129753681,-0.5223305853886175,185.0,220.0
