device_type,device_index,temp_avg,method,vds,vth_diff_mean,vth_diff_std,vth_diff_count,temp_diff_mean,vth_mean,vth_ref_295k_mean
nmos,3,220.0,sqrt,1.2,0.05552840646440474,0.0018554192461399646,2,-75.0,0.43634919254960325,0.38082078608519854
nmos,3,220.0,traditional,0.1,0.054364814639469905,0.004888179707094301,2,-75.0,0.5963606566353117,0.5419958419958417
nmos,4,85.0,sqrt,1.2,0.12316398614343821,0.0016811039953830227,2,-210.0,0.5609124874364477,0.4377485012930095
nmos,4,85.0,traditional,0.1,0.11765423865742164,0.0014816018050239513,2,-210.0,0.6641421743142583,0.5464879356568366
nmos,4,115.0,sqrt,1.2,0.11159839324364619,0.0003003452742375773,3,-180.0,0.5493468945366557,0.4377485012930095
nmos,4,115.0,traditional,0.1,0.10710786419334088,0.0005621729490857411,3,-180.0,0.6535957998501775,0.5464879356568366
nmos,4,140.0,sqrt,1.2,0.10000128563832494,0.0013209726403184436,3,-155.0,0.5377497869313345,0.4377485012930095
nmos,4,140.0,traditional,0.1,0.09722422028926776,0.0010032311288171044,3,-155.0,0.6437121559461044,0.5464879356568366
nmos,4,185.0,sqrt,1.2,0.07462161029886115,0.001734006292444733,3,-110.0,0.5123701115918707,0.4377485012930095
nmos,4,185.0,traditional,0.1,0.07364312579149561,0.0004918506846382975,3,-110.0,0.6201310614483323,0.5464879356568366
nmos,4,220.0,sqrt,1.2,0.053073209236045915,0.003735951183780907,3,-75.0,0.4908217105290555,0.4377485012930095
nmos,4,220.0,traditional,0.1,0.054491294429653836,0.0020493368386205737,3,-75.0,0.6009792300864905,0.5464879356568366
pmos,1,85.0,sqrt,0.0,-0.1405515476543679,0.005680312839038677,3,-210.0,-0.5189190942858346,-0.3783675466314667
pmos,1,85.0,traditional,1.1,-0.13896396417309534,0.01107125146996615,3,-210.0,-0.6575890846356719,-0.5186251204625765
pmos,1,115.0,sqrt,0.0,-0.12318079393500087,0.006319579923685327,3,-180.0,-0.5015483405664676,-0.3783675466314667
pmos,1,115.0,traditional,1.1,-0.12001016463152485,0.010137367705210008,3,-180.0,-0.6386352850941014,-0.5186251204625765
pmos,1,140.0,sqrt,0.0,-0.1094456864112411,0.005048854328379544,3,-155.0,-0.4878132330427078,-0.3783675466314667
